# XJ380.img 内全部常规文件的 SHA-256 清单（101 个文件）
# 来源镜像：xhdndmm/xj380os-full-report release commit-08e49b98… 的 XJ380.img
# XJ380.img  sha256 = 14daf0fe40cb8e1bbcd24803a2fbfda28cf18a6d96d5822d37bc8d5dafcbe45e (134217728 bytes)
# XJ380.zip  sha256 = 22a9552345bf57643f5cf66bb432b6930267504283a6546b217da89deb056dae (462864064 bytes)
# 列：镜像内路径 | 字节数 | sha256 | 在完整源码包 XJ380.zip 中的同哈希路径 | 是否也存在于公开仓库 OpenXJ380(4349e4d)
路径	字节数	sha256	源码包同哈希路径	公开仓库存在
EFI/BOOT/BOOTX64.efi	61000	4b0d54d6f075c2344252787331e86b92f010de6f6751af2193b6aba51663d8ae	-	否
NvVars	10397	49635a1e2a693dce5e06947bc422503244fd77bdab84647097e1e2c523a4035b	-	否
apps/bcms-sp.elf	292496	de3ef3f0fefa7eb3f64fa3c99bb9cec454526be0ad6baa367ccf586bf4f309e9	-	否
apps/builtin/browser.elf	36136848	199cf62615cad6fb0ea80b0cd866c1cf6a25e5f681ac40e8aa27dd494fee38ee	-	否
apps/builtin/calc.elf	1279656	97c8de8c62bd5d433f59df30d69f2bfda2c7be92473e02a147f34ef7397b061d	-	否
apps/builtin/duckchat.elf	1732376	33e518a26262fba5fb00821d46f52afe8fbf92c51ea085867703df815c2824b3	-	否
apps/builtin/helloworld.elf	1030592	c6d1063f59275861d86b95ad7af6efac035136fdcf3705f33d639adeb5c33b14	-	否
apps/builtin/layout.elf	1265920	57bef350867f63a0e5e54dce1e0c64d086f6269938cce2f2e6580de57ce908c5	-	否
apps/builtin/nut.elf	3093992	874ccd654460efe1349de12346692e0e4f7635ed64d1b7c484b0446686df02ac	-	否
apps/builtin/picturer.elf	294592	df15f5ea88505dd69d8491c481ddb8f3f818e2230617d6165de7afeb7e6f6220	-	否
apps/builtin/texter.elf	343304	da61c79e7ee50ab5c6439a3283e301423c8196fe23ed95d1df011cf2a500aa25	-	否
apps/busyterm.elf	1522672	8e14a4d8acdb33a0bd9f5dd15cf7d21117ab1c2ee5cce04ec1421fa011f9655f	-	否
apps/dyn-hello	23072	205493e450b3ab40c9c4031d568ed0fdc00781eaff93accfd8a8851eb27eddbe	-	否
apps/libctest.elf	321184	3279c4966861d9c63ed48988a4714d6d88737f6bad48cf9203cf0718fcacf712	-	否
apps/msgtest.elf	306376	afac3089c6d83e1fe62d2142d3c064882d1dc571373b62becfcff251f832aee7	-	否
apps/posixdemo.elf	302024	036847a0576df1c4c8b338c4c5af202514e2599266b44e5893a94d394afed336	-	否
apps/sigtest.elf	311304	a55da67957dca252fb1f54ed52d52d90ef0083e2868f17af438706774360ec51	-	否
apps/system/ctrlmenu.elf	382064	4ccfeff899249e87523648757b78cfef4dcb562c5969504da3afbfb772e43f2f	-	否
apps/system/desktop.elf	355976	e07b76325f8d2c97103c1c00781e8d66a6702a2824988646ebd4d35b79444b87	-	否
apps/system/dock.elf	303264	a29057c0000924550d58549246bdf0aa07172fc468af37b28e1fda5bfc2a1450	-	否
apps/system/elfrun.elf	301160	1ea4de0c603dd125dca95b2a687c6b7dc72e8bc6fce59448012a1da554776163	-	否
apps/system/filedlg.elf	312056	e5efc5782c3a30f7777421f0fcfd36468389757963bb8ec781a1cb8452def152	-	否
apps/system/fmanager.elf	384304	75c5293082919ab22e0d271dc3947d78760171f51f202885b4a586a65c98604f	-	否
apps/system/launcher.elf	1381744	d49fb21fe15c01c9e0d1d5e5dac7cc384ce3636455272f458efb30d7f501fc6e	-	否
apps/system/login.elf	327072	223dd19450739b673d77849b8ffa9b0279fb5ef9f7759fba6a711c86dbf2a37c	-	否
apps/system/shell.elf	424144	f68e991399538d0b038db480149b6f965a9c19faffc9682d274b59d450943f8b	-	否
apps/system/taskmgr.elf	307512	5d3d95e4f368241a2b875ccd6b3120386203f69ca0e32f538d4df2cc4f27bd30	-	否
apps/system/xjver.elf	306296	fe095879a22e64212f1fdf793d2bfb8ada527f1f561af6034cd33e1209c98fa8	-	否
etc/os-release	194	e958efa40cc3c84bf25f4aef4fc423b75f4ceff5f050eeb06d0e5f9888370d61	-	否
etc/resolv.conf	21	31a5c87223355acc1271c046594f6c45a4578fce98eb47f16c1f2b032476b21f	-	否
etc/ssl/certs/ca-certificates.crt	182140	ecd9dc38bc3efb7dbd6431f57e29d2f8d6a0f0d211e1464b3fef2cbfe266fcd2	-	否
mod/e1000.sys	39104	67369a8b774a518aaf9eeecd18b9303dfebb149478293acd4141363e0f1ec7de	-	否
mod/netserver.sys	482168	7bb5016ac0a5ec7222f04a93884fb2598c5f931e3691c6fddfc94acfaff1d96b	-	否
system/config/hardware.xtb	263	c29570d304f7dc50bcc6842b3763384a25985c3b65c8d94d40f839d924223196	-	否
system/font/XJ380C.ttf	5448380	4e12bb3f85c634c21e12e21b4e9eb5be230522a8b135afc6ac28a9ea85914193	font/ttf/XJ380C.ttf	是
system/font/XJ380F.ttf	10807764	4c2d26d8b76df7654354c94e27e465fa3bd852f6ab64336f2b848700845b9fbc	font/ttf/XJ380F.ttf	是
system/foxland/peek.png	145928	e8d37b88ef974f8c0ad0484908d573753ac12db69c6991b17da34f19311c7b20	graphics/peek.png	是
system/icon/bdown.png	641	b1dfdb46d1a25843dd3660461e502998a5ba845300465beb82737cf9e6dfbd59	graphics/icon/bdown.png	是
system/icon/bin.png	9444	18961f36d83664d7209234b63d888915f35c86026d9a328496b1c084f61c75f9	graphics/icon/bin.png	是
system/icon/bleft.png	636	a3ae21a59f0c0d4bf3a35390c667eb8448b97771b8ce96a0c21f9d89414d750c	graphics/icon/bleft.png	是
system/icon/bright.png	636	75d0baef28a854eab0e621de6d3912a042de447364ebf9544be699d3bd7f1702	graphics/icon/bright.png	是
system/icon/bup.png	634	98cc65a2267f158179149c0c21f854c35e23653067a33424790d745b3ec44d1f	graphics/icon/bup.png	是
system/icon/button.png	387	5f54215731705a4173c6b1731c162c4f69377eda7831490e541eed5acfad419b	graphics/icon/button.png	是
system/icon/buttonemp.png	257	ff10f4b5877e4c42fe4fb95e3c0ba0677bfd093163ea68b3d1ab07a199bbceaf	graphics/icon/buttonemp.png	是
system/icon/calc.png	7792	01e97c14344431597a24affa7d6869e55ad5fcfc1e9d36f50525104e5df793bb	graphics/icon/calc.png	是
system/icon/d_system.png	19148	8f13ef1128d24d02dbbf68a4726219f65c4e80d4938f9f94772426d582c743fb	graphics/icon/d_system.png	是
system/icon/disk.png	14492	3f361038c9733dae6f74b8e25bf3fa93acaf5a61fb31bde8a1b932ab6a22aefc	graphics/icon/disk.png	是
system/icon/folder.png	2338	6572ee6ec40be925fd96fc14548c9d36e150a781e9af932d5769358b88504cc4	graphics/icon/folder.png	是
system/icon/guoqiyu.png	30707	ed0a516729ecea65d6db0df846d0dddb260bfff08fe75fca9aee7f749f22d9c8	graphics/icon/guoqiyu.png	是
system/icon/nextstep.png	32885	867594f5f294f98dce2c292015ba4cecb4cfb01725e3884e0a342a630e7092ed	graphics/icon/nextstep.png	是
system/icon/picviewer.png	11317	9eb13c049b097bad9588d80a3b2e5e0405b9625a9c6f2379085066f76a9c9621	graphics/icon/picviewer.png	是
system/icon/settings.png	27004	35a0f5dd389f957ff62596663b1b3c091cf8d5fecca29236bd94483bb0a9f81d	graphics/icon/settings.png	是
system/icon/switch_off.png	661	b8ed55d8730641d0a329ae7cc118478f8f0f4fa7d7dfa24ac66abee5f94a394f	graphics/icon/switch_off.png	是
system/icon/switch_on.png	692	484592c125c2a63e8828178c2710d6c6b2982d22b14b793691b5163e2a8f8ffb	graphics/icon/switch_on.png	是
system/icon/terminal.png	2744	91729f0b61fe84e7e175977c8f4280d78da2c43672a8c086902a4fca66aebb2d	graphics/icon/terminal.png	是
system/icon/texter.png	4962	8af8cc2300328441b4b0557dd1d208a7edd436d73a8fe913cdbb57f1edb3fd8e	graphics/icon/texter.png	是
system/icon/unknowexe.png	27352	63ad38464365d1fa727b9fd0e4e50908491972b97cc4e29fe7372333132da70e	graphics/icon/unknowexe.png	是
system/icon/unknowfile.png	1864	f61c1a22b10fd05b9b657a2c3ac81c7991738cc30100c268cfdd2536c6f1d108	graphics/icon/unknowfile.png	是
system/icon/user.png	5893	1701de2f9534bd9d4eabec7727ab9a8695e5503edf3e85273d6444bdeaae7aa3	graphics/icon/user.png	是
system/icon/xjver.png	27856	4467f234c7e8ab1892a9a0b21b3635ec7b12474f49061e2a3e0e9d6dfc8ef1fe	graphics/icon/xjver.png	是
system/kernel.krl	5316792	04db374bd38a6da19081fc4e1e1e573814cb6002dbc5f7fb324485f2aa9548cf	-	否
system/oslog.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	serial1.log	是
system/resources/apps/busybox	3125520	559dd743bf2f8841405fb9025cba1079966294ab9bbce80678935bce4770d54d	resources/apps/busybox	否
system/resources/apps/fastfetch	9004440	86f14de8063586a387eb565f310b61bca467c0e7ac3de65a65dc05f90cfbefa0	resources/apps/fastfetch	是
system/resources/ctrlmenu.settings	2147	e5300c6f725d0dace9b926c4d6ff7697bbf5ec27d1a2e56e6d8ee5b961712d8e	resources/ctrlmenu.settings	否
system/resources/image/background.png	1434418	1d158a38ed75c99d8ff95f14c0a9eef74b06014ead81460e518bb9d0b506b07b	resources/image/background.png	是
system/resources/image/background2.png	625237	19863e4c1264c4de77fa4921190a4c7a758322ed42500cf5819231b47d7902ea	resources/image/background2.png	是
system/resources/image/background3.png	126858	cfe3f0653594db3b5b02bf1b66d280d7ec706b07782a566f98233c23b3c10df4	resources/image/background3.png	是
system/resources/image/fm_bg.png	95746	dec6457886b0f005c6d28289186d53e2aa7573ad942bc2c0ef196d68362e637b	user/fmanager/fm_bg.png	是
system/resources/musl/ld-musl-x86_64.so.1	670312	38d022ce7425ff105ccfb53598f606e6e5f5f0a34bfbc793d65e6f34c9d72806	resources/musl/libc.so	是
system/resources/musl/libc.musl-x86_64.so.1	670312	38d022ce7425ff105ccfb53598f606e6e5f5f0a34bfbc793d65e6f34c9d72806	resources/musl/libc.so	是
system/resources/musl/libc.so	670312	38d022ce7425ff105ccfb53598f606e6e5f5f0a34bfbc793d65e6f34c9d72806	resources/musl/libc.so	是
system/resources/musl/libgcc_s.so.1	98320	cc5e307b2221e367d59e132a6dd85691e9dd60dc7a8cde9596a5e276ca320cbc	resources/musl/libgcc_s.so.1	是
system/resources/svg/chevron-left.svg	397	5fa391401f9947558c34f96e17ae0117cbf125c9f3555522686c898d4f5ccc7a	resources/svg/chevron-left.svg	是
system/resources/svg/chevron-right.svg	400	c55370517c9201a921c38d42da6013fd730d3757f7aa4e450a50c3285e74c519	resources/svg/chevron-right.svg	是
system/resources/svg/file-image.svg	814	f57d846fd8636cf722df5cf94a48832fc7c9acdca668b3d01838d70d36c4dd9f	resources/svg/file-image.svg	是
system/resources/svg/file-lines.svg	771	2314a69a3d815ce6fb30fd2bc729b33aede5aa4a8942a8f7fb51f1b3346de713	resources/svg/file-lines.svg	是
system/resources/svg/file.svg	593	5521334df233c09d0d58d7b281b6b7e56603edde9be4ec8956f3fa785d304295	resources/svg/file.svg	是
system/resources/svg/folder-open.svg	704	9994c348a77c27181a19a9b4026a85000ce5b97638f89cb4251b5c3363019a9e	resources/svg/folder-open.svg	是
system/resources/svg/gear.svg	1033	ce235729f89aa2d9fff637ec2ed9a56f5d09ff523ddd7fa396a9bd2718990acf	resources/svg/gear.svg	是
system/resources/svg/markdown.svg	594	df44bd5932886b96878c64e4c1101f13c957238880e5c347f12bea02a50a8139	resources/svg/markdown.svg	是
system/resources/svg/readme.md	110	7eb7172001b1a100321f386ccddb65280f4c07822f5a5e2022deb1b1cdb7f72d	resources/svg/readme.md	是
system/resources/svg/user.svg	526	ddbfb617e01804cab04aaddb7c25a0c0cabf10d0d5b8dc5c1e1061b2f17b874d	resources/svg/user.svg	是
system/theme/skyglass/bottom.png	2478	c65bab099043d6f201ea9ea3b0e7cc195788bdefd4ce2273d5051bd8ae464737	graphics/window/theme/skyglass/bottom.png	是
system/theme/skyglass/close.png	1345	48df9b72aa26599991d37ad40d267b4ee6b118aba09ca0045e3a8fef3f0a2df0	graphics/window/theme/skyglass/close.png	是
system/theme/skyglass/close_light.png	2675	84f7e97d8d27322b6e52f426257e2776a29733e6c7b6d9165529d41e05557b74	graphics/window/theme/skyglass/close_light.png	是
system/theme/skyglass/left.png	3018	3a679030acac597e84b7514ac380e33bfa949c88822561e97ba88f723b8d2409	graphics/window/theme/skyglass/left.png	是
system/theme/skyglass/max.png	3050	dc016eb399013b1726b727d684081349f5da1c77c0a7b202e36f608a1090acb6	graphics/window/theme/skyglass/max.png	是
system/theme/skyglass/max_light.png	3145	716000783a043b2d2489062bab6a0b0194d980248e4cd94ae88c6b773f02ec95	graphics/window/theme/skyglass/max_light.png	是
system/theme/skyglass/min.png	826	b540e84c1a6836ce8af55851d916c6eb8e9affbc42d7dd5e43c1169ab3d8de40	graphics/window/theme/skyglass/min.png	是
system/theme/skyglass/min_light.png	2364	b8469a70f5531e4270ae0a4440de7204b607de1ff2b228d80ce9b4f6634c35bb	graphics/window/theme/skyglass/min_light.png	是
system/theme/skyglass/right.png	3159	6f96c8bff9c0836e0f2c184d99bb8762f2c8a391f012df9f9754ee10f912e8fc	graphics/window/theme/skyglass/right.png	是
